METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Salisbury, MD-DE",-13019.88,-11538.89,-6559.68,-4603.16,-644.76,-1996.64,-3400.08,-3606.17,-836.30,3046.01,-2720.56,142319,143467,151226,154245,149073,154114,161305,166834,177003,179027,185187,167190,169301,169544,170023,164311,171985,178527,184482,191817,192864,203604,166859,167806,168753,168791,163164,168840,176688,182071,189767,191671,202417,331,1495,791,1232,1147,3145,1839,2411,2050,1193,1187,318605,321189,324955,330834,336304,339837,331320,336673,349240,359399,365427,4194.452008,5358.819151,3243.829467,2124.373674,5707.230827,4784.436547,3731.112679,3132.503271,2930.999169,6417.771876,5000.09028,NA,2111,243,479,-5712,7674,6542,5955,3667.5,1047,10740,NA,1.25%,0.14%,0.28%,-3.48%,4.46%,3.66%,3.23%,1.91%,0.54%,5.27%,-7.79%,-6.82%,-3.87%,-2.71%,-0.39%,-1.16%,-1.90%,-1.95%,-0.44%,1.58%,-1.34%,300,294,255,233,155,173,218,223,204,143,239,0.533593112,0.431423936,0.48235948,0.459190158,0.507210281,0.455824742,0.494522804,0.486210372,0.493947649,0.433295772,0.491050339,895,937,1013,981,954,948,1003,1027,1092,1187,1270,171200,204200,203700,218200,229600,244800,231800,244400,293000,338600,248500,1355,65304,67570,69934,77887,76754,72547,70469,67444,71510,1515
"Utica-Rome, NY",-5251.00,-4859.65,-2767.33,-4372.29,-6796.99,-9297.89,-8793.01,-4497.20,-3608.79,-1545.86,-1750.75,111340,108320,109095,106309,105446,106231,106108,108577,111184,115647,116685,123167,119722,119904,118153,119415,122780,121935,121301,121637,124165,124896,122158,119298,118609,117721,118385,121897,121186,120544,120717,123512,124270,1009,424,1295,432,1030,883,749,757,920,653,626,232199,229338,228510,225311,228508,226598,211564,211856,209865,208039,209347,0,668.9041514,1230.399779,1642.15037,828.2972888,1006.252145,932.9467331,1943.763681,347.6288113,511.2239946,0,NA,-3445,182,-1751,1262,3365,-845,-634,168,2528,731,NA,-2.88%,0.15%,-1.48%,1.06%,2.74%,-0.69%,-0.52%,0.14%,2.04%,0.59%,-4.26%,-4.06%,-2.31%,-3.70%,-5.69%,-7.57%,-7.21%,-3.71%,-2.97%,-1.25%,-1.40%,261,262,218,250,282,295,295,265,275,237,240,0.454333273,0.453020636,0.444842642,0.457698882,0.380328831,0.433578573,0.406821941,0.401573915,0.410896462,0.42064526,0.418523625,654,669,713,719,691,712,744,728,793,887,919,110000,109000,110100,112200,120200,118000,129800,131800,152300,165800,173300,7428,9161,9508,9273,10121,8448,9794,9744,8393,5725,5859
"Tulsa, OK",-4167.08,-4739.08,-1299.82,-2726.38,-4646.66,-7363.39,-3014.41,-4643.95,1894.91,-3355.20,-4216.20,310641,311605,316357,323451,325968,322793,323118,328346,345697,273686,275701,343308,346157,348199,352588,358153,359486,361067,363333,374257,296332,299535,337037,340471,342573,347689,354140,355970,356111,358862,370553,293696,297686,6271,5686,5626,4899,4013,3516,4956,4471,3704,2636,1849,629059,637369,639814,651772,660070,664674,655918,658966,687395,528171,532579,6377.971061,8139.683347,8665.074911,5084.832962,6882.798211,9213.290715,13164.46224,9004.528365,9015.293892,2829.049523,3794.050686,NA,2849,2042,4389,5565,1333,1581,2266,5462,-77925,3203,NA,0.82%,0.59%,1.24%,1.55%,0.37%,0.44%,0.62%,1.46%,-26.30%,1.07%,-1.21%,-1.37%,-0.37%,-0.77%,-1.30%,-2.05%,-0.83%,-1.28%,0.51%,-1.13%,-1.41%,155,176,139,162,187,205,186,211,171,234,241,0.434580551,0.407248675,0.398289418,0.396355518,0.408577084,0.419282763,0.411274517,0.415110668,0.408565006,0.437814568,0.44119825,725,740,775,791,793,823,839,861,903,987,1075,128400,128100,133100,141800,143400,150700,154600,160900,186100,212100,230200,4226,3444,3876,4238,2948,3810,3956,3875,2625,3257,2497
"Peoria, IL",-1090.16,-2697.40,-3494.00,-5316.02,-5665.00,-7697.87,-8867.60,-5052.92,1333.31,-1475.15,-2107.47,130626,129832,128745,129219,129260,125625,125628,126793,134516,133037,131753,140378,141018,140995,141572,142141,142316,142355,142485,142854,143198,143399,139319,139021,139760,141005,141388,140083,140777,138651,140904,141164,140804,1059,1997,1235,567,753,2233,1578,3834,1950,2034,2595,259793,262173,260268,258768,258532,254471,245505,242956,241775,243021,242476,1020.510064,0,1032.146092,8.604488197,0,456.080677,0,443.2673129,948.1011506,0,338.9365595,NA,640,-23,577,569,175,39,130,184.5,344,201,NA,0.45%,-0.02%,0.41%,0.40%,0.12%,0.03%,0.09%,0.13%,0.24%,0.14%,-0.78%,-1.91%,-2.48%,-3.75%,-3.99%,-5.41%,-6.23%,-3.55%,0.93%,-1.03%,-1.47%,133,198,220,251,265,277,289,262,158,229,242,0.409520654,0.391558413,0.385253803,0.383511942,0.393562291,0.379730876,0.387876905,0.390302948,0.437400036,0.442452484,0.407567099,669,689,708,739,743,727,777,732,812,873,899,134800,128400,131600,137100,136800,138000,140200,134300,141700,155500,160600,857,733,1077,941,693,1046,503,772,1204,1002,1086
"Punta Gorda, FL",-6438.85,-3567.48,-3134.97,-248.58,-146.53,-325.24,-447.73,1147.47,-65.47,1443.11,-1497.21,71810,69035,75233,72672,75147,76055,74975,76589,88988,90457,90367,83841,78903,85632,80887,82867,84539,84606,85720,96656,98377,101430,83784,78874,85632,80827,82867,84498,84606,85657,95902,97918,101039,57,29,0,60,0,41,0,63,754,459,391,145169,147263,151232,155320,160203,163355,163467,167268,172048,179595,180865,1852.052331,2685.495081,3335.596798,4069.357071,3634.402576,4109.533692,5175.733527,6081.925044,2284.884748,4172.628385,4434.703636,NA,-4938,6729,-4745,1980,1672,67,1114,5468,1721,3053,NA,-6.26%,7.86%,-5.87%,2.39%,1.98%,0.08%,1.30%,5.66%,1.75%,3.01%,-7.68%,-4.52%,-3.66%,-0.31%,-0.18%,-0.38%,-0.53%,1.34%,-0.07%,1.47%,-1.48%,299,269,251,144,148,148,177,130,193,144,243,0.431538409,0.552740329,0.528687217,0.511687571,0.505309257,0.486087604,0.606882169,0.541456744,0.558168317,0.484955521,0.595922528,840,888,849,932,953,952,1050,1006,1207,1266,1520,131900,138000,146300,167300,180600,193600,206600,224600,267900,342700,365900,16860,21920,15866,20664,19820,19445,20595,21449,16976,20026,22375
"Amarillo, TX",-2485.48,-2445.05,-2803.06,-2464.09,-3920.78,-518.48,-2273.88,-2112.10,-1102.28,-3270.06,-1659.63,91671,92219,91777,92038,91906,94070,95006,94441,100981,97553,98954,99782,100164,101585,102610,103572,103357,104983,105346,109859,110517,110892,99311,99275,99321,100732,101477,100978,102841,102421,107395,106575,107097,471,889,2264,1878,2095,2379,2142,2925,2464,3942,3795,193793,193884,195982,196785,198932,200620,191548,191639,195813,199141,203243,543.7777796,0,144.8493378,1550.483813,1004.690308,1605.729612,772.2068686,1091.28783,250.1621928,832.6549855,1462.544069,NA,382,1421,1025,962,-215,1626,363,2256.5,658,375,NA,0.38%,1.40%,1.00%,0.93%,-0.21%,1.55%,0.34%,2.05%,0.60%,0.34%,-2.49%,-2.44%,-2.76%,-2.40%,-3.79%,-0.50%,-2.17%,-2.00%,-1.00%,-2.96%,-1.50%,204,214,230,223,260,153,229,224,224,278,244,0.439234338,0.410509315,0.435164064,0.458956301,0.404930575,0.399640694,0.423215492,0.428199554,0.398095136,0.475578184,0.429223999,733,747,801,795,809,826,833,860,939,998,1008,118000,122900,121800,127800,135700,139900,148200,156300,167000,200100,205000,667,1423,1060,754,501,1796,846,594,716,663,1035
"Niles, MI",-3704.92,-2885.36,-2586.80,-1877.05,-357.50,-1325.70,-665.57,-1920.64,182.63,-284.86,-1144.04,60223,59239,62984,64279,62539,64166,64783,61809,65764,63311,65129,67709,66385,69642,71093,68186,70170,69637,68301,69724,68852,69918,67188,66181,68720,69370,66206,68700,69082,67867,69435,67747,69892,521,204,922,1723,1980,1470,555,434,289,1105,26,126715,124928,126752,125949,125656,126306,122746,122457,122967,123291,122856,237.0716059,1042.557802,0,0,173.8553579,0,375.5010276,997.056915,538.5075424,938.6613104,345.2458162,NA,-1324,3257,1451,-2907,1984,-533,-1336,711.5,-872,1066,NA,-1.99%,4.68%,2.04%,-4.26%,2.83%,-0.77%,-1.96%,1.02%,-1.27%,1.52%,-5.47%,-4.35%,-3.71%,-2.64%,-0.52%,-1.89%,-0.96%,-2.81%,0.26%,-0.41%,-1.64%,275,265,253,231,160,195,189,245,184,208,245,0.526457238,0.450613776,0.490580218,0.421327181,0.457135376,0.492858224,0.410171582,0.444810032,0.484790458,0.427224859,0.443367585,654,653,682,688,692,750,686,775,831,885,936,131000,123100,141600,141200,153600,150400,152900,156900,194100,221700,237900,8700,10015,7179,5786,8597,7504,7486,9553,7386,8718,7511
"Valdosta, GA",-1808.25,144.56,-1544.60,-2098.34,-2531.66,-2002.85,-3767.30,-1798.96,-1015.62,-1170.75,-871.85,40155,40847,38548,37760,40835,41585,41734,42640,45139,46125,48323,44359,44724,45127,45243,46209,47191,47640,48932,49796,50430,52551,43971,43043,42020,43474,45732,45689,47588,47119,48912,49602,51611,388,1681,3107,1769,477,1502,52,1813,884,828,940,91642,89538,89277,89103,90944,92344,88167,88508,90191,90935,91345,0,284.0112973,0,1645.387248,308.1828123,20.86159225,0,521.9414628,476.5971549,0,0,NA,365,403,116,966,982,449,1292,432,634,2121,NA,0.82%,0.89%,0.26%,2.09%,2.08%,0.94%,2.64%,0.87%,1.26%,4.04%,-4.08%,0.32%,-3.42%,-4.64%,-5.48%,-4.24%,-7.91%,-3.68%,-2.04%,-2.32%,-1.66%,254,105,246,271,279,259,301,264,255,260,246,0.467327398,0.506526333,0.443221349,0.466621346,0.476089045,0.369397659,0.380691585,0.376292125,0.552720405,0.409147205,0.448541026,775,701,719,723,723,771,757,817,828,979,1003,126500,117100,110900,129800,131000,123600,136900,131200,166000,178500,205900,817,855,1136,1049,1019,1002,849,556,NA,NA,NA
"Saginaw, MI",-1203.77,-1250.10,-352.41,-4207.45,-2245.30,-49.82,-2334.69,-2219.86,-326.70,-826.25,-1443.22,78010,77518,77999,77211,78494,80957,78740,79050,80146,79275,77158,86596,85612,86085,86639,86467,87586,87303,87810,86032,86109,85152,83240,82644,83262,85279,85020,85335,85766,86269,84480,84065,83639,3356,2968,2823,1360,1447,2251,1537,1541,1552,2044,1513,162107,160605,160117,158832,157967,158593,151166,150803,149187,149725,149073,119.7402265,0,962.5133755,0,339.0467744,266.9856529,718.3901076,996.79666,0,0,1123.699944,NA,-984,473,554,-172,1119,-283,507,-889,77,-957,NA,-1.15%,0.55%,0.64%,-0.20%,1.28%,-0.32%,0.58%,-1.03%,0.09%,-1.12%,-1.39%,-1.46%,-0.41%,-4.86%,-2.60%,-0.06%,-2.67%,-2.53%,-0.38%,-0.96%,-1.69%,162,180,141,274,226,135,244,236,203,225,247,0.500119087,0.486632932,0.479123482,0.498811724,0.479425924,0.490240811,0.488499311,0.519664703,0.512469653,0.509765625,0.50318966,669,670,700,720,751,740,747,761,818,920,917,92200,95100,89700,93500,96200,104300,105800,108300,128600,146600,146400,366,889,444,408,473,130,832,428,NA,158,1003
"Fargo, ND-MN",542.54,938.10,204.05,-868.00,135.74,-1429.85,-2623.85,-2143.20,757.05,-676.50,-1584.85,66335,68282,69621,73440,76206,76123,74343,78736,83761,82870,84603,69870,72108,73480,78234,80109,81424,81520,85452,87242,88965,90897,69870,70758,72898,77980,79903,81359,80684,84816,87192,87690,90418,0,1350,582,254,206,65,836,636,50,1275,479,127681,132395,134941,139327,141061,145697,140339,143862,146196,150641,152341,724.5659604,0,0,0,21.37578058,0,0,0,0,0,0,NA,2238,1372,4754,1875,1315,96,3932,895,1723,1932,NA,3.10%,1.87%,6.08%,2.34%,1.62%,0.12%,4.60%,1.03%,1.94%,2.13%,0.78%,1.30%,0.28%,-1.11%,0.17%,-1.76%,-3.22%,-2.51%,0.87%,-0.76%,-1.74%,81,69,112,179,135,191,250,235,163,217,248,0.374708625,0.436041359,0.428601149,0.38992,0.429677419,0.410801652,0.457028837,0.383140369,0.411324959,0.432242551,0.42363193,665,705,715,756,772,793,831,815,811,890,989,160200,166900,171300,193600,200200,215600,221400,236100,246800,271100,287200,900,839,2365,466,447,805,2422,578,110,234,NA
"San Angelo, TX",308.97,109.47,-710.85,-266.90,-128.48,-1368.22,835.91,-1260.80,-2468.99,-1549.85,-990.61,42517,43376,42501,44422,43497,42060,43301,43604,45516,46843,47637,45432,46250,47063,47877,48470,48127,47930,48381,51589,51624,52158,44544,45783,46164,46910,46765,46499,46068,47045,50635,50735,51453,888,467,899,967,1705,1628,1862,1336,954,889,705,91643,91972,94866,94580,94890,94263,87640,89633,90275,90925,92030,200.1172961,331.1116368,787.7115577,0,918.7310253,921.6983596,1369.386084,0,356.3909371,0,422.4156612,NA,818,813,814,593,-343,-197,451,1604,35,534,NA,1.77%,1.73%,1.70%,1.22%,-0.71%,-0.41%,0.93%,3.11%,0.07%,1.02%,0.68%,0.24%,-1.51%,-0.56%,-0.27%,-2.84%,1.74%,-2.61%,-4.79%,-3.00%,-1.90%,83,111,183,153,150,233,114,240,291,280,249,0.362333559,0.399363018,0.492647059,0.468933243,0.466393443,0.43806366,0.416221142,0.429602158,0.372672079,0.526341228,0.519831181,684,746,789,883,848,822,855,952,895,1122,1127,103500,111400,97800,124000,140300,138600,154400,149700,163600,195400,199000,1631,832,738,515,329,NA,745,NA,484,NA,NA
"Hagerstown-Martinsburg, MD-WV",1.95,-10.00,-2630.84,-465.90,-2152.75,-886.26,-965.26,-2049.97,1204.75,199.70,-1127.24,56459,56400,54722,55944,55825,56663,56306,56225,60216,53554,54446,59490,59918,60401,60178,61056,60874,61035,61142,63404,57037,58786,59280,59230,60236,59558,60769,60796,60863,61108,62495,56771,58390,210,688,165,620,287,78,172,34,909,266,396,121814,122214,121490,123051,122689,123988,114400,114819,116856,107422,110209,0,0,140.0608819,334.1944501,0,393.8989359,739.4626541,20.74042593,450.4328614,703.8082819,89.965412,NA,428,483,-223,878,-182,161,107,1131,-6367,1749,NA,0.71%,0.80%,-0.37%,1.44%,-0.30%,0.26%,0.18%,1.78%,-11.16%,2.98%,0.00%,-0.02%,-4.36%,-0.77%,-3.53%,-1.46%,-1.58%,-3.35%,1.90%,0.35%,-1.92%,97,120,263,163,252,185,208,257,131,185,250,0.42587374,0.406782757,0.432034896,0.400841109,0.412684712,0.450269029,0.371613262,0.39873175,0.488961475,0.419733253,0.478215706,841,879,826,900,931,923,935,924,1023,1012,1162,170800,172000,182300,186900,188700,199900,194800,201200,231500,268800,276900,5260,2853,2508,2957,2066,2285,2167,3353,3384,2544,2325
"Killeen-Temple, TX",-14132.58,-15550.72,-7294.91,-5119.04,-10201.75,-10457.35,-9329.42,-6957.72,-2186.90,-1427.52,-3067.11,104604,102933,114952,119178,119985,122333,123189,126772,139582,143361,145863,127734,129659,132767,134163,137373,139790,141766,144100,150519,154150,158057,127264,127733,130114,131599,136186,138907,139989,141554,149356,152010,156575,470,1926,2653,2564,1187,883,1777,2546,1163,2140,1482,246388,247586,251289,256081,258927,264936,260567,265722,281266,290776,294408,3140.207231,3907.265363,2018.557794,1279.100312,0,0,1248.695703,1414.933834,579.0504292,50.88448342,334.9949005,NA,1925,3108,1396,3210,2417,1976,2334,3209.5,3631,3907,NA,1.48%,2.34%,1.04%,2.34%,1.73%,1.39%,1.62%,2.13%,2.36%,2.47%,-11.06%,-11.99%,-5.49%,-3.82%,-7.43%,-7.48%,-6.58%,-4.83%,-1.45%,-0.93%,-1.94%,305,306,282,254,295,294,291,276,240,224,251,0.433837094,0.383073101,0.417829834,0.451571359,0.393718612,0.411486676,0.407049264,0.458768019,0.458657549,0.468009871,0.456535154,827,820,871,858,869,902,894,906,1009,1126,1301,118600,127100,123100,130000,134900,142500,149200,159800,195300,229100,251000,3478,2390,1692,2009,1376,1169,1584,859,1494,2276,1697
"Pittsburgh, PA",-23547.32,-12871.38,-23040.39,-26511.65,-22370.05,-32228.96,-22712.71,-19104.24,-17448.96,-22276.67,-20954.19,929137,927467,932544,929540,926924,938299,954231,968084,964836,949824,957702,1024844,1024334,1027473,1028230,1030181,1047080,1051940,1057264,1052978,1046518,1051157,1008939,998171,1010567,1011914,1008494,1027151,1035158,1040959,1035912,1030740,1034284,15905,26163,16906,16316,21687,19929,16782,16305,17066,15778,16873,1854713,1859702,1858145,1858114,1853317,1846714,1787215,1785239,1807449,1792888,1779357,9331.268465,10913.5897,7957.529391,8938.425226,12241.6684,9245.798276,10002.61355,5111.01188,5128.797718,10617.26444,7374.009334,NA,-510,3139,757,1951,16899,4860,5324,-2143,-6460,4639,NA,-0.05%,0.31%,0.07%,0.19%,1.61%,0.46%,0.50%,-0.20%,-0.62%,0.44%,-2.30%,-1.26%,-2.24%,-2.58%,-2.17%,-3.08%,-2.16%,-1.81%,-1.66%,-2.13%,-1.99%,196,168,214,230,215,239,228,219,246,251,252,0.40647627,0.419768225,0.41528688,0.4187124,0.399416645,0.400841336,0.414787659,0.386991452,0.427380054,0.389755247,0.417434633,700,712,743,756,766,794,832,847,895,964,1044,124300,130700,134700,143200,148600,153300,160300,165900,190000,209800,218300,8792,8301,9372,11400,12005,11186,10172,8130,8037,8472,8543
"Jackson, MS",-2064.84,109.90,-250.91,-2337.79,-1834.65,-4282.54,-4603.91,992.73,-2366.63,-5761.69,-4516.64,185336,188646,189916,191354,194228,192518,191512,193342,202128,187025,191420,208508,209076,213209,215493,215457,217336,221299,219855,227337,214010,214826,200537,200788,204653,206996,209347,210513,213533,210569,219953,206085,208584,7971,8288,8556,8497,6110,6823,7766,9286,7384,7925,6242,408488,406234,415510,413659,417261,419705,401070,397651,400235,372564,376554,3685.106145,2685.331672,4752.66077,3558.583477,3402.811034,3891.964521,7468.090032,8145.360187,5097.113338,3759.107876,2929.865746,NA,568,4133,2284,-36,1879,3963,-1444,3741,-13327,816,NA,0.27%,1.94%,1.06%,-0.02%,0.86%,1.79%,-0.66%,1.65%,-6.23%,0.38%,-0.99%,0.05%,-0.12%,-1.08%,-0.85%,-1.97%,-2.08%,0.45%,-1.04%,-2.69%,-2.10%,145,118,132,175,175,200,225,152,227,268,253,0.457557814,0.47909644,0.469966056,0.466311288,0.419070305,0.404057065,0.394052099,0.454648186,0.50332085,0.479312768,0.482549474,748,776,805,834,835,857,873,863,930,998,1023,133900,121200,135400,145300,141900,147700,151400,153800,178100,188700,211000,3716,3948,3671,1781,2773,2868,2634,2773,2479,2531,1865
"Lynchburg, VA",-2425.62,-616.13,-2660.20,-3935.00,-3247.12,-3535.87,-2971.12,-2645.80,-3625.72,-3278.84,-2521.73,99273,102320,98398,100497,97679,98408,103276,102879,103892,102617,104544,109132,112022,110200,112094,111170,110180,114646,114064,114562,114815,116358,108040,109553,108163,110933,110012,108367,113206,112704,113486,113162,114982,1092,2469,2037,1161,1158,1813,1440,1360,1076,1653,1376,212439,214094,215124,219289,218537,219603,208330,209448,208164,208655,208579,1312.119315,1429.403287,2080.855828,1405.855425,4001.835533,1431.170618,1709.598988,1938.333118,736.8410271,2033.629286,2561.019448,NA,2890,-1822,1894,-924,-990,4466,-582,249,253,1543,NA,2.58%,-1.65%,1.69%,-0.83%,-0.90%,3.90%,-0.51%,0.22%,0.22%,1.33%,-2.22%,-0.55%,-2.41%,-3.51%,-2.92%,-3.21%,-2.59%,-2.32%,-3.16%,-2.86%,-2.17%,191,137,219,247,237,242,243,230,277,276,254,0.432415004,0.485664554,0.424526338,0.504624259,0.387129617,0.414076751,0.456921863,0.395689482,0.42202763,0.430325271,0.390272148,676,739,787,759,728,777,788,834,874,890,973,159600,164400,164400,162900,167100,171500,172200,174000,207700,222300,248600,3563,2700,4045,3554,4273,6318,3131,3559,3663,3587,3513
"Crestview-Fort Walton Beach-Destin, FL",-4840.65,-5513.22,-5821.80,-2376.45,-3279.05,-1965.45,-2119.41,-3361.21,-6261.65,-3629.31,-2091.72,75099,73931,73278,76721,76102,79011,79570,76097,84497,86848,86542,84410,83696,83964,84627,83905,85450,87577,87350,96992,95625,94116,83869,83592,83468,83863,83594,84927,87058,86576,96172,95625,93458,541,104,496,764,311,523,519,774,820,0,658,155340,157386,160717,161148,164255,164305,161535,164974,167129,171688,173849,166.0969055,429.7404854,670.7607924,885.2397323,388.4312698,0,1323.891904,3155.176602,1131.906065,766.9403171,473.5040908,NA,-714,268,663,-722,1545,2127,-227,4821,-1367,-1509,NA,-0.85%,0.32%,0.78%,-0.86%,1.81%,2.43%,-0.26%,4.97%,-1.43%,-1.60%,-5.73%,-6.59%,-6.93%,-2.81%,-3.91%,-2.30%,-2.42%,-3.85%,-6.46%,-3.80%,-2.22%,278,292,296,237,263,215,237,268,307,287,255,0.452799605,0.436035456,0.460867466,0.478782627,0.451059423,0.461192139,0.474843669,0.512259691,0.496151406,0.525087127,0.506122084,985,966,1008,1041,1000,1037,1105,1160,1336,1451,1712,175400,181100,187700,203500,213100,214100,238600,241600,314300,358800,374300,8876,29267,32569,28533,26556,24593,23114,27725,23957,28335,33383
